[LOG] System::create                           : Header version = 2.02.24. Current version = 2.02.24.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20224 (146338), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000023982540ED8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] AsyncThread::add                         : add sound to async queue : soundi = 00000237FE101DF8, queue head = 00000238C8182328, queue count = 0
[LOG] AsyncThread::threadFunc                  : Starting Asynchronous operation on sound 00000237FE101DF8
[LOG] AsyncThread::add                         : add sound to async queue : soundi = 00000237FE101738, queue head = 00000238C8182328, queue count = 0
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Soil_01 (000002396D3E7B58)
[LOG] SoundI::release                          :  (000002368D39C498)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Soil_02 (00000239468D2578)
[LOG] SoundI::release                          :  (000002396BDBD838)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Soil_03 (0000023975169708)
[LOG] SoundI::release                          :  (00000239466A2C78)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Soil_04 (000002368D2F17B8)
[LOG] SoundI::release                          :  (00000239466A33A8)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Soil_05 (000002368D2F1AF8)
[LOG] SoundI::release                          :  (000002396E58BA68)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Soil_06 (000002398394A188)
[LOG] SoundI::release                          :  (000002393E9C4708)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Brick_01 (000002397AA79BD8)
[LOG] SoundI::release                          :  (000002368D39BA88)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Brick_02 (0000023973B58778)
[LOG] SoundI::release                          :  (000002366456FA68)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Brick_03 (000002368D2F0AB8)
[LOG] SoundI::release                          :  (000002368D39D748)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Brick_04 (00000239468D2098)
[LOG] SoundI::release                          :  (000002393E9C4428)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Brick_05 (00000239731D2438)
[LOG] SoundI::release                          :  (000002368D39CD38)
[LOG] SoundI::release                          :     FX_107_PL_Grim_Self_Run_Brick_06 (0000023973B58438)
[LOG] SoundI::release                          :  (000002396E58A088)
[LOG] SoundI::release                          :     FX_111_PL_Grim_Self_Land_Snow_01 (000002398394A808)
[LOG] SoundI::release                          :  (000002396E58BD48)
[LOG] SoundI::release                          :     FX_111_PL_Grim_Self_Land_Snow_02 (000002398394A4C8)
[LOG] SoundI::release                          :  (000002396BDBC2A8)
[LOG] SoundI::release                          :     FX_111_PL_Grim_Self_Land_Snow_03 (0000023975168868)
[LOG] SoundI::release                          :  (00000239466A30C8)
[LOG] SoundI::release                          :     FX_111_PL_Grim_Self_Land_Brick_01 (0000023975168A08)
[LOG] SoundI::release                          :  (000002368D39C328)
[LOG] SoundI::release                          :     FX_111_PL_Grim_Self_Land_Brick_02 (00000239468D23D8)
[LOG] SoundI::release                          :  (000002366456F058)
[LOG] SoundI::release                          :     FX_111_PL_Grim_Self_Land_Brick_03 (0000023945F3EDA8)
[LOG] SoundI::release                          :  (000002366456F8F8)
[LOG] SoundI::release                          :     FX_111_PL_Grim_Self_Land_Soil_01 (000002368D2F1478)
[LOG] SoundI::release                          :  (000002368D39E5A8)
[LOG] SoundI::release                          :     FX_111_PL_Grim_Self_Land_Soil_02 (00000239468D2BF8)
[LOG] SoundI::release                          :  (000002393E9C38A8)
[LOG] SoundI::release                          :     FX_111_PL_Grim_Self_Land_Soil_03 (000002380015E198)
[LOG] SoundI::release                          :  (000002366456FEB8)
[LOG] SoundI::release                          :     FX_108_PL_Grim_Self_Jump_01 (000002368D2F0778)
[LOG] SoundI::release                          :  (000002396E58A648)
[LOG] SoundI::release                          :     FX_108_PL_Grim_Self_Jump_02 (000002397AA79D78)
[LOG] SoundI::release                          :  (000002393E9C42B8)
[LOG] SoundI::release                          :     FX_108_PL_Grim_Self_Jump_03 (000002380015DCB8)
[LOG] SoundI::release                          :  (000002368D39C048)
[LOG] SoundI::release                          :     FX_112_PL_Grim_Self_WallLeap_01 (0000023665C14868)
[LOG] SoundI::release                          :  (000002396BDBC588)
[LOG] SoundI::release                          :     FX_112_PL_Grim_Self_WallLeap_02 (00000239751686C8)
[LOG] SoundI::release                          :  (000002380B9E6188)
[LOG] SoundI::release                          :     FX_112_PL_Grim_Self_WallLeap_03 (000002396D3E7818)
[LOG] SoundI::release                          :  (000002380B726828)
[LOG] SoundI::release                          :     FX_102_PL_Grim_Scyche_Spin_01 (00000239829CC3F8)
[LOG] SoundI::release                          :  (000002380B7263D8)
[LOG] SoundI::release                          :     SWSH_Sword Whoosh Squal-1.M - Trimmed (00000239829CB898)
[LOG] SoundI::release                          :  (000002380B726DE8)
[LOG] SoundI::release                          :     SWSH_Sword Whoosh Squall.M - Trimmed (00000239829CBD78)
[LOG] SoundI::release                          :  (000002368D39E9F8)
[LOG] SoundI::release                          :     FX_105_PL_Grim_Scyche_DownAttack_Release_01 (0000023665C13EA8)
[LOG] SoundI::release                          :  (000002380B9E6468)
[LOG] SoundI::release                          :     FX_103_PL_Grim_Scyche_Slam_01 (0000023974C92C98)
[LOG] SoundI::release                          :  (000002380B9E6B98)
[LOG] SoundI::release                          :     FX_001_LM_MapGeneral_WallBreak_Ice_01 (0000023974C927B8)
[LOG] SoundI::release                          :  (000002393E9C35C8)
[LOG] SoundI::release                          :     FX_001_LM_MapGeneral_WallBreak_Ice_02 (00000239731D1738)
[LOG] SoundI::release                          :  (000002393E9C4878)
[LOG] SoundI::release                          :     FX_001_LM_MapGeneral_WallBreak_Ice_03 (00000239731D1A78)
[LOG] SoundI::release                          :  (000002368D39D2F8)
[LOG] SoundI::release                          :     FX_001_LM_MapGeneral_WallBreak_Stone_01 (0000023973B585D8)
[LOG] SoundI::release                          :  (000002368D39BED8)
[LOG] SoundI::release                          :     FX_001_LM_MapGeneral_WallBreak_Stone_02 (0000023665C14048)
[LOG] SoundI::release                          :  (000002396BDBCF98)
[LOG] SoundI::release                          :     FX_001_LM_MapGeneral_WallBreak_Stone_03 (00000239751698A8)
[LOG] SoundI::release                          :  (000002393E9C49E8)
[LOG] SoundI::release                          :     FX_110_PL_Grim_Self_WallSlide_Soil_01 (000002397AA79898)
[LOG] SoundI::release                          :  (000002368D39B078)
[LOG] SoundI::release                          :     FX_110_PL_Grim_Self_WallSlide_Snow_01 (000002380015DE58)
[LOG] SoundI::release                          :  (00000239466A2B08)
[LOG] SoundI::release                          :     FX_001_LM_MapGeneral_WallBreak_Soil_01 (000002368D2F24B8)
[LOG] SoundI::release                          :  (0000023664570028)
[LOG] SoundI::release                          :     FX_001_LM_MapGeneral_WallBreak_Soil_02 (000002368D2F0F98)
[LOG] SoundI::release                          :  (000002393E9C3738)
[LOG] SoundI::release                          :     FX_001_LM_MapGeneral_WallBreak_Soil_03 (00000239731D1F58)
[LOG] SoundI::release                          :  (000002396E58BEB8)
[LOG] SoundI::release                          :     FX_110_PL_Grim_Self_WallSlide_Stone_01 (000002398394A668)
[LOG] SoundI::release                          :  (000002380B9E6748)
[LOG] SoundI::release                          :     FX_106_PL_Grim_Self_Hit_01 (0000023974C92FD8)
[LOG] SoundI::release                          :  (00000239466A2DE8)
[LOG] SoundI::release                          :     FX_106_PL_Grim_Self_Hit_02 (000002368D2F1138)
[LOG] SoundI::release                          :  (000002396E58AC08)
[LOG] SoundI::release                          :     FX_106_PL_Grim_Self_Hit_03 (0000023983949B08)
[LOG] SoundI::release                          :  (000002380B9E65D8)
[LOG] SoundI::release                          :     FX_106_PL_Grim_Self_Hit_04 (0000023974C92478)
[LOG] SoundI::release                          :  (000002396E58A7B8)
[LOG] SoundI::release                          :     FX_109_PL_Grim_Self_Dash_01 (000002397AA79218)
[LOG] SoundI::release                          :  (000002366456F1C8)
[LOG] SoundI::release                          :     FX_109_PL_Grim_Self_Dash_02 (000002368D2F1FD8)
[LOG] SoundI::release                          :  (000002396BDBBCE8)
[LOG] SoundI::release                          :     FX_109_PL_Grim_Self_Dash_03 (0000023975169088)
[LOG] SoundI::release                          :  (000002396C372D58)
[LOG] SoundI::release                          :     FX_008_LM_MapGeneral_WallHit_Sand_01 (000002396D861588)
[LOG] SoundI::release                          :  (000002368D39CEA8)
[LOG] SoundI::release                          :     FX_008_LM_MapGeneral_WallHit_Sand_02 (0000023973B58DF8)
[LOG] SoundI::release                          :  (000002396BDBD3E8)
[LOG] SoundI::release                          :     FX_008_LM_MapGeneral_WallHit_Sand_03 (0000023975169D88)
[LOG] SoundI::release                          :  (000002368D39DE78)
[LOG] SoundI::release                          :     FX_008_LM_MapGeneral_WallHit_Snow_01 (0000023973B580F8)
[LOG] SoundI::release                          :  (000002393E9C3178)
[LOG] SoundI::release                          :     FX_008_LM_MapGeneral_WallHit_Snow_02 (00000239731D20F8)
[LOG] SoundI::release                          :  (000002396E58A1F8)
[LOG] SoundI::release                          :     FX_008_LM_MapGeneral_WallHit_Snow_03 (0000023945F3E8C8)
[LOG] SoundI::release                          :  (000002366456F4A8)
[LOG] SoundI::release                          :     FX_008_LM_MapGeneral_WallHit_Stone_01 (000002368D2F1C98)
[LOG] SoundI::release                          : CREAHmn_UNDEAD-Zombie Fem.M (00000239F17A7AC8)
[LOG] SoundI::release                          :     CREAHmn_UNDEAD-Zombie Fem.M (0000023665B1C948)
[LOG] SoundI::release                          :     CREAHmn_UNDEAD-Zombie Fem.M (00000237FE101738)
[LOG] SoundI::release                          : Demo 0202-Ver.2 (00000239F17A7FD8)
[LOG] SoundI::release                          :     Demo 0202-Ver.2 (0000023665B1C128)
[LOG] SoundI::release                          :     Demo 0202-Ver.2 (00000237FE101DF8)
[LOG] SoundI::release                          : FX_005_LM_MapDenial_Ambience_01 (00000239F17A7918)
[LOG] SoundI::release                          :     FX_005_LM_MapDenial_Ambience_01 (0000023665B1C608)
[LOG] SoundI::release                          :     FX_005_LM_MapDenial_Ambience_01 (00000237FE101588)
[LOG] SoundI::release                          :  (000002396E58A368)
[LOG] SoundI::release                          :     FX_008_LM_MapGeneral_WallHit_Stone_02 (0000023945F3EA68)
[LOG] SoundI::release                          :  (000002366456FBD8)
[LOG] SoundI::release                          :     FX_008_LM_MapGeneral_WallHit_Stone_03 (0000023945F3E3E8)
[LOG] SoundI::release                          :  (000002380B728208)
[LOG] SoundI::release                          :     FX_201_ENM_Skeleton_Injured_01 (00000239829CBF18)
[LOG] SoundI::release                          :  (000002380B725CA8)
[LOG] SoundI::release                          :     FX_201_ENM_Skeleton_Injured_02 (00000239829CC0B8)
[LOG] SoundI::release                          :  (000002380B725F88)
[LOG] SoundI::release                          :     FX_201_ENM_Skeleton_Injured_03 (00000239829CCDB8)
[LOG] Thread::callback                         : FMOD Convolution thread finished.
[LOG] Thread::callback                         : FMOD Convolution thread finished.
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Closed.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
[LOG] Thread::callback                         : FMOD nonblocking thread (0) finished.
[LOG] Thread::callback                         : FMOD file thread finished.
